,bin,#recs,#g,#b,%g,%b,tot,cg,cb,score_raw,prob(%),odds,log_odds,log_odds_adj,fit,score_calib
51,51.0,981.0,979.0,2.0,99.79612640163099,0.20387359836901453,50031.0,49981.0,18.0,0.0018171100971829226,0.2038735983690112,0.0020439223697650663,-8.934443882360041,-8.0,-8.58306931058772,494.7771756859929
52,52.0,980.0,979.0,1.0,99.89795918367346,0.10204081632653583,50960.0,50960.0,19.0,0.0018957788125493074,0.10204081632653061,0.0010224719101123594,-9.93372307542979,-8.0,-8.495154122327696,496.53547945119334
53,53.0,981.0,981.0,0.0,100.0,0.0,51993.0,51941.0,19.0,0.001967105858984463,0.0,1.0193679918450562e-06,-19.903893610881326,-8.0,-8.420343514160685,498.03169161453354
54,54.0,980.0,979.0,1.0,99.89795918367346,0.10204081632653583,52920.0,52920.0,20.0,0.0020398937272263985,0.10204081632653061,0.0010224719101123594,-9.93372307542979,-8.0,-8.3482524167089,499.4735135635692
55,55.0,980.0,977.0,3.0,99.6938775510204,0.3061224489795933,53900.0,53897.0,23.0,0.0021312998503663226,0.30612244897959184,0.00307164790174002,-8.346771433032185,-8.0,-8.26311139899621,501.17633391782306
56,56.0,981.0,980.0,1.0,99.8980632008155,0.10193679918450016,54936.0,54877.0,24.0,0.0022195881193576767,0.1019367991845056,0.0010214285714285714,-9.935195964828663,-8.0,-8.185917172724002,502.7202184432672
57,57.0,980.0,979.0,1.0,99.89795918367346,0.10204081632653583,55860.0,55856.0,25.0,0.0023095423214075203,0.10204081632653061,0.0010224719101123594,-9.93372307542979,-8.0,-8.11177249015115,504.20311209472425
58,58.0,980.0,978.0,2.0,99.79591836734694,0.20408163265305745,56840.0,56834.0,27.0,0.0024054935913842036,0.20408163265306123,0.0020460122699386503,-8.93296948770858,-8.0,-8.03714148920058,505.69573211373563
59,59.0,981.0,979.0,2.0,99.79612640163099,0.20387359836901453,57879.0,57813.0,29.0,0.0025027802766526956,0.2038735983690112,0.0020439223697650663,-8.934443882360041,-8.0,-7.96565996377342,507.1253626222789
60,60.0,980.0,980.0,0.0,100.0,0.0,58800.0,58793.0,29.0,0.0025972448125827596,0.0,1.020408163265306e-06,-19.902422223664658,-8.0,-7.899866099852131,508.44123990070466
