bin,#recs,#g,#b,%g,%b,tot,cg,cb,%cg,FDR,KS,FPR
82.0,126.0,126.0,0.0,100.0,0.0,10362.0,10006.0,356.0,81.47544988193144,100.0,18.52455011806856,28.10674157303371
83.0,127.0,127.0,0.0,100.0,0.0,10489.0,10133.0,356.0,82.50956762478626,100.0,17.490432375213743,28.463483146067414
84.0,126.0,126.0,0.0,100.0,0.0,10615.0,10259.0,356.0,83.53554270824851,100.0,16.464457291751486,28.81741573033708
85.0,126.0,126.0,0.0,100.0,0.0,10741.0,10385.0,356.0,84.56151779171077,100.0,15.43848220828923,29.171348314606742
86.0,127.0,127.0,0.0,100.0,0.0,10868.0,10512.0,356.0,85.59563553456559,100.0,14.404364465434412,29.528089887640448
87.0,126.0,126.0,0.0,100.0,0.0,10994.0,10638.0,356.0,86.62161061802784,100.0,13.378389381972156,29.882022471910112
88.0,127.0,127.0,0.0,100.0,0.0,11121.0,10765.0,356.0,87.65572836088266,100.0,12.344271639117338,30.23876404494382
89.0,126.0,126.0,0.0,100.0,0.0,11247.0,10891.0,356.0,88.68170344434492,100.0,11.318296555655081,30.59269662921348
90.0,126.0,126.0,0.0,100.0,0.0,11373.0,11017.0,356.0,89.70767852780718,100.0,10.292321472192825,30.946629213483146
91.0,127.0,127.0,0.0,100.0,0.0,11500.0,11144.0,356.0,90.741796270662,100.0,9.258203729338007,31.303370786516854
92.0,126.0,126.0,0.0,100.0,0.0,11626.0,11270.0,356.0,91.76777135412426,100.0,8.232228645875736,31.65730337078652
93.0,126.0,126.0,0.0,100.0,0.0,11752.0,11396.0,356.0,92.79374643758652,100.0,7.20625356241348,32.01123595505618
94.0,127.0,127.0,0.0,100.0,0.0,11879.0,11523.0,356.0,93.82786418044134,100.0,6.172135819558662,32.36797752808989
95.0,126.0,126.0,0.0,100.0,0.0,12005.0,11649.0,356.0,94.8538392639036,100.0,5.146160736096405,32.72191011235955
96.0,127.0,127.0,0.0,100.0,0.0,12132.0,11776.0,356.0,95.88795700675841,100.0,4.112042993241587,33.07865168539326
97.0,126.0,126.0,0.0,100.0,0.0,12258.0,11902.0,356.0,96.91393209022067,100.0,3.086067909779331,33.43258426966292
98.0,126.0,126.0,0.0,100.0,0.0,12384.0,12028.0,356.0,97.93990717368293,100.0,2.0600928263170744,33.78651685393258
99.0,127.0,127.0,0.0,100.0,0.0,12511.0,12155.0,356.0,98.97402491653774,100.0,1.0259750834622565,34.14325842696629
100.0,126.0,126.0,0.0,100.0,0.0,12637.0,12281.0,356.0,100.0,100.0,0.0,34.497191011235955
