,bin,#recs,#g,#b,%g,%b,tot,cg,cb,%cg,FDR,KS,FPR,TP,TN,FN,FP,Accuracy,Misclass,FPRate,FPRatio,TPR,TNR,Precision,f1
17,17.0,126.0,123.0,3.0,97.61904761904762,2.3809523809523796,2148.0,1837.0,311.0,14.95806530412833,87.35955056179775,72.40148525766942,5.906752411575563,311.0,10444.0,45.0,1837.0,0.8510722481601646,0.1489277518398354,0.1495806530412833,5.906752411575563,0.8735955056179775,0.8504193469587167,0.14478584729981378,0.24840255591054314
18,18.0,127.0,125.0,2.0,98.4251968503937,1.5748031496062964,2275.0,1962.0,313.0,15.97589772819803,87.92134831460675,71.94545058640871,6.268370607028754,313.0,10319.0,43.0,1962.0,0.8413389253778587,0.15866107462214132,0.1597589772819803,6.268370607028754,0.8792134831460674,0.8402410227180197,0.13758241758241757,0.23793234511592548
19,19.0,126.0,123.0,3.0,97.61904761904762,2.3809523809523796,2401.0,2085.0,316.0,16.977444833482615,88.76404494382022,71.78660011033762,6.598101265822785,316.0,10196.0,40.0,2085.0,0.8318430007121943,0.16815699928780564,0.16977444833482616,6.598101265822785,0.8876404494382022,0.8302255516651739,0.13161182840483132,0.22923467537178094
20,20.0,126.0,122.0,4.0,96.82539682539682,3.1746031746031775,2527.0,2207.0,320.0,17.970849279374644,89.88764044943821,71.91679117006356,6.896875,320.0,10074.0,36.0,2207.0,0.8225053414576244,0.17749465854237556,0.17970849279374643,6.896875,0.898876404494382,0.8202915072062535,0.12663237039968342,0.22199098161637182
21,21.0,127.0,126.0,1.0,99.21259842519684,0.7874015748031553,2654.0,2333.0,321.0,18.996824362836904,90.1685393258427,71.1717149630058,7.26791277258567,321.0,9948.0,35.0,2333.0,0.8126137532642241,0.1873862467357759,0.18996824362836903,7.26791277258567,0.901685393258427,0.8100317563716309,0.12094951017332328,0.21328903654485049
22,22.0,126.0,123.0,3.0,97.61904761904762,2.3809523809523796,2780.0,2456.0,324.0,19.998371468121487,91.01123595505618,71.01286448693469,7.580246913580247,324.0,9825.0,32.0,2456.0,0.8031178285985597,0.1968821714014402,0.1999837146812149,7.580246913580247,0.9101123595505618,0.8000162853187851,0.11654676258992806,0.2066326530612245
23,23.0,127.0,126.0,1.0,99.21259842519684,0.7874015748031553,2907.0,2582.0,325.0,21.024346551583747,91.29213483146067,70.26778827987692,7.944615384615385,325.0,9699.0,31.0,2582.0,0.7932262404051594,0.20677375959484054,0.21024346551583747,7.944615384615385,0.9129213483146067,0.7897565344841625,0.11179910560715514,0.199203187250996
24,24.0,126.0,124.0,2.0,98.41269841269842,1.5873015873015817,3033.0,2706.0,327.0,22.03403631626089,91.85393258426966,69.81989626800876,8.275229357798166,327.0,9575.0,29.0,2706.0,0.7835720503284007,0.21642794967159928,0.2203403631626089,8.275229357798166,0.9185393258426966,0.7796596368373911,0.10781404549950543,0.1929772794334612
25,25.0,126.0,126.0,0.0,100.0,0.0,3159.0,2832.0,327.0,23.060011399723148,91.85393258426966,68.7939211845465,8.660550458715596,327.0,9449.0,29.0,2832.0,0.7736013294294531,0.2263986705705468,0.2306001139972315,8.660550458715596,0.9185393258426966,0.7693998860027685,0.10351377018043685,0.1860597439544808
26,26.0,127.0,125.0,2.0,98.4251968503937,1.5748031496062964,3286.0,2957.0,329.0,24.07784382379285,92.41573033707866,68.33788651328581,8.987841945288753,329.0,9324.0,27.0,2957.0,0.7638680066471473,0.23613199335285273,0.2407784382379285,8.987841945288753,0.9241573033707865,0.7592215617620715,0.10012172854534389,0.18066996155958265
27,27.0,126.0,126.0,0.0,100.0,0.0,3412.0,3083.0,329.0,25.10381890725511,92.41573033707866,67.31191142982354,9.370820668693009,329.0,9198.0,27.0,3083.0,0.7538972857481997,0.24610271425180028,0.2510381890725511,9.370820668693009,0.9241573033707865,0.748961810927449,0.09642438452520516,0.1746284501061571
28,28.0,126.0,125.0,1.0,99.2063492063492,0.7936507936507979,3538.0,3208.0,330.0,26.12165133132481,92.69662921348315,66.57497788215834,9.72121212121212,330.0,9073.0,26.0,3208.0,0.7440848302603466,0.2559151697396534,0.26121651331324813,9.72121212121212,0.9269662921348315,0.7387834866867519,0.09327303561334087,0.16949152542372883
29,29.0,127.0,126.0,1.0,99.21259842519684,0.7874015748031553,3665.0,3334.0,331.0,27.14762641478707,92.97752808988764,65.82990167510057,10.072507552870091,331.0,8947.0,25.0,3334.0,0.7341932420669463,0.26580675793305375,0.2714762641478707,10.072507552870091,0.9297752808988764,0.7285237358521293,0.0903137789904502,0.1646356627704551
30,30.0,126.0,124.0,2.0,98.41269841269842,1.5873015873015817,3791.0,3458.0,333.0,28.157316179464214,93.53932584269663,65.38200966323241,10.384384384384385,333.0,8823.0,23.0,3458.0,0.7245390519901875,0.27546094800981247,0.28157316179464215,10.384384384384385,0.9353932584269663,0.7184268382053579,0.08783962015299393,0.16059802266698817
31,31.0,126.0,126.0,0.0,100.0,0.0,3917.0,3584.0,333.0,29.18329126292647,93.53932584269663,64.35603457977015,10.762762762762764,333.0,8697.0,23.0,3584.0,0.71456833109124,0.28543166890876,0.2918329126292647,10.762762762762764,0.9353932584269663,0.7081670873707353,0.08501404135818229,0.15586239176222796
32,32.0,127.0,126.0,1.0,99.21259842519684,0.7874015748031553,4044.0,3710.0,334.0,30.20926634638873,93.82022471910112,63.61095837271239,11.107784431137725,334.0,8571.0,22.0,3710.0,0.7046767428978397,0.29532325710216034,0.3020926634638873,11.107784431137725,0.9382022471910112,0.6979073365361127,0.08259149357072205,0.1518181818181818
33,33.0,126.0,126.0,0.0,100.0,0.0,4170.0,3836.0,334.0,31.23524142985099,93.82022471910112,62.58498328925013,11.48502994011976,334.0,8445.0,22.0,3836.0,0.6947060219988921,0.30529397800110786,0.3123524142985099,11.48502994011976,0.9382022471910112,0.6876475857014901,0.08009592326139088,0.14759169244365886
34,34.0,127.0,125.0,2.0,98.4251968503937,1.5748031496062964,4297.0,3961.0,336.0,32.25307385392069,94.38202247191012,62.12894861798943,11.788690476190476,336.0,8320.0,20.0,3961.0,0.6849726992165862,0.3150273007834138,0.3225307385392069,11.788690476190476,0.9438202247191011,0.6774692614607931,0.07819408889923202,0.14442295293359125
