bin,#recs,#g,#b,%g,%b,tot,cg,cb,%cg,FDR,KS,FPR,Fraud Savings,FP Loss,Overall Savings
20.0,256.0,254.0,2.0,99.21875,0.78125,5124.0,4497.0,627.0,18.011775543717707,96.01837672281776,78.00660117910006,7.172248803827751,250800.0,89940.0,160860.0
21.0,256.0,255.0,1.0,99.609375,0.390625,5380.0,4752.0,628.0,19.033123723314777,96.17151607963247,77.1383923563177,7.56687898089172,251200.0,95040.0,156160.0
22.0,256.0,256.0,0.0,100.0,0.0,5636.0,5008.0,628.0,20.058477189890656,96.17151607963247,76.11303888974182,7.974522292993631,251200.0,100160.0,151040.0
23.0,257.0,255.0,2.0,99.22178988326849,0.7782101167315147,5893.0,5263.0,630.0,21.079825369487725,96.47779479326186,75.39796942377414,8.353968253968254,252000.0,105260.0,146740.0
24.0,256.0,256.0,0.0,100.0,0.0,6149.0,5519.0,630.0,22.105178836063605,96.47779479326186,74.37261595719826,8.760317460317461,252000.0,110380.0,141620.0
25.0,256.0,256.0,0.0,100.0,0.0,6405.0,5775.0,630.0,23.130532302639484,96.47779479326186,73.34726249062238,9.166666666666666,252000.0,115500.0,136500.0
26.0,256.0,255.0,1.0,99.609375,0.390625,6661.0,6030.0,631.0,24.151880482236553,96.63093415007657,72.47905366784002,9.556259904912837,252400.0,120600.0,131800.0
27.0,256.0,256.0,0.0,100.0,0.0,6917.0,6286.0,631.0,25.177233948812432,96.63093415007657,71.45370020126414,9.961965134706814,252400.0,125720.0,126680.0
28.0,257.0,257.0,0.0,100.0,0.0,7174.0,6543.0,631.0,26.206592702367125,96.63093415007657,70.42434144770945,10.369255150554675,252400.0,130860.0,121540.0
29.0,256.0,256.0,0.0,100.0,0.0,7430.0,6799.0,631.0,27.231946168943004,96.63093415007657,69.39898798113356,10.774960380348652,252400.0,135980.0,116420.0
30.0,256.0,253.0,3.0,98.828125,1.171875,7686.0,7052.0,634.0,28.24528377458245,97.09035222052067,68.84506844593822,11.123028391167193,253600.0,141040.0,112560.0
31.0,256.0,256.0,0.0,100.0,0.0,7942.0,7308.0,634.0,29.27063724115833,97.09035222052067,67.81971497936235,11.526813880126182,253600.0,146160.0,107440.0
32.0,256.0,255.0,1.0,99.609375,0.390625,8198.0,7563.0,635.0,30.291985420755395,97.24349157733538,66.95150615657998,11.910236220472441,254000.0,151260.0,102740.0
33.0,257.0,256.0,1.0,99.61089494163424,0.3891050583657574,8455.0,7819.0,636.0,31.317338887331278,97.39663093415008,66.07929204681881,12.294025157232705,254400.0,156380.0,98020.0
34.0,256.0,256.0,0.0,100.0,0.0,8711.0,8075.0,636.0,32.34269235390716,97.39663093415008,65.05393858024291,12.696540880503145,254400.0,161500.0,92900.0
35.0,256.0,256.0,0.0,100.0,0.0,8967.0,8331.0,636.0,33.36804582048304,97.39663093415008,64.02858511366705,13.099056603773585,254400.0,166620.0,87780.0
36.0,256.0,255.0,1.0,99.609375,0.390625,9223.0,8586.0,637.0,34.3893940000801,97.54977029096477,63.16037629088467,13.478806907378337,254800.0,171720.0,83080.0
37.0,256.0,256.0,0.0,100.0,0.0,9479.0,8842.0,637.0,35.41474746665599,97.54977029096477,62.135022824308784,13.880690737833595,254800.0,176840.0,77960.0
38.0,257.0,256.0,1.0,99.61089494163424,0.3891050583657574,9736.0,9098.0,638.0,36.44010093323187,97.70290964777948,61.26280871454761,14.260188087774294,255200.0,181960.0,73240.0
39.0,256.0,256.0,0.0,100.0,0.0,9992.0,9354.0,638.0,37.46545439980775,97.70290964777948,60.23745524797173,14.661442006269592,255200.0,187080.0,68120.0
40.0,256.0,256.0,0.0,100.0,0.0,10248.0,9610.0,638.0,38.490807866383626,97.70290964777948,59.21210178139585,15.06269592476489,255200.0,192200.0,63000.0
41.0,256.0,256.0,0.0,100.0,0.0,10504.0,9866.0,638.0,39.516161332959506,97.70290964777948,58.18674831481997,15.463949843260188,255200.0,197320.0,57880.0
42.0,256.0,255.0,1.0,99.609375,0.390625,10760.0,10121.0,639.0,40.537509512556575,97.85604900459418,57.31853949203761,15.838810641627543,255600.0,202420.0,53180.0
43.0,257.0,257.0,0.0,100.0,0.0,11017.0,10378.0,639.0,41.566868266111264,97.85604900459418,56.28918073848292,16.241001564945226,255600.0,207560.0,48040.0
44.0,256.0,256.0,0.0,100.0,0.0,11273.0,10634.0,639.0,42.59222173268715,97.85604900459418,55.26382727190703,16.641627543035995,255600.0,212680.0,42920.0
45.0,256.0,256.0,0.0,100.0,0.0,11529.0,10890.0,639.0,43.61757519926303,97.85604900459418,54.238473805331154,17.04225352112676,255600.0,217800.0,37800.0
46.0,256.0,253.0,3.0,98.828125,1.171875,11785.0,11143.0,642.0,44.63091280490247,98.31546707503828,53.68455427013581,17.356697819314643,256800.0,222860.0,33940.0
47.0,256.0,256.0,0.0,100.0,0.0,12041.0,11399.0,642.0,45.65626627147835,98.31546707503828,52.65920080355993,17.75545171339564,256800.0,227980.0,28820.0
48.0,257.0,257.0,0.0,100.0,0.0,12298.0,11656.0,642.0,46.68562502503304,98.31546707503828,51.629842050005244,18.15576323987539,256800.0,233120.0,23680.0
49.0,256.0,256.0,0.0,100.0,0.0,12554.0,11912.0,642.0,47.71097849160893,98.31546707503828,50.60448858342936,18.554517133956388,256800.0,238240.0,18560.0
